Population,Magnitude,Depth,Distance_from_the_epicenter,Secondary effects,Architechture,destructiveness
Populated ,70,427,3681,No,Good ,High
Unpopulated,31,515,5233,No,Bad,Low
Populated ,58,565,2099,No,Good,Low
Populated ,68,340,8626,No,Good,Low
Unpopulated,67,210,6387,No,Good,Low
Populated ,35,284,2126,No,Good,Low
Unpopulated,75,98,211,No,Bad,High
Populated ,64,237,9295,No,Good,Low
Unpopulated,37,218,9194,No,Bad,Low
Populated,70,650,6063,No,Good,High
Unpopulated,58,198,615,Yes,Bad,Low
Populated,80,171,7722,No,Bad,High
Populated ,36,324,6365,yes,Good ,Low
Unpopulated,80,387,2526,No,Bad,High
Populated ,62,662,7849,No,Good,Low
Populated ,39,589,5360,No,Good,Low
Unpopulated,53,567,8058,No,Good,Low
Populated ,32,574,37,No,Good,Low
Unpopulated,42,84,3774,No,Bad,Low
Populated ,31,698,5842,No,Good,Low
Unpopulated,57,689,8692,No,Bad,Low
Populated,49,608,4827,No,Good,Low
Unpopulated,38,512,7858,No,Bad,Low
Populated,67,18,23,Yes,Bad,Low
Populated ,30,499,5267,No,Good ,Low
Unpopulated,30,410,6614,yes,Bad,Low
Populated ,57,699,7789,No,Good,Low
Populated ,44,345,9475,No,Good,Low
Unpopulated,33,637,3895,No,Good,Low
Populated ,35,332,6512,No,Good,Low
Unpopulated,33,60,7218,No,Bad,Low
Populated ,50,107,9856,No,Good,Low
Unpopulated,73,359,1346,No,Bad,High
Populated,63,516,751,No,Good,Low
Unpopulated,36,443,7647,No,Bad,Low
Populated,67,594,9833,No,Bad,Low
Populated ,45,620,7898,Yes,Good ,Low
Unpopulated,33,10,5897,No,Bad,Low
Populated ,52,38,5437,yes,Good,Low
Populated ,43,310,1038,No,Good,Low
Unpopulated,42,526,3572,No,Good,Low
Populated ,79,195,3859,No,Good,High
Unpopulated,54,34,8049,No,Bad,Low
Populated ,69,90,8772,No,Good,High
Unpopulated,39,60,3385,No,Bad,Low
Populated,41,552,9992,No,Good,Low
Unpopulated,58,567,1891,No,Bad,Low
Populated,80,87,508,No,Bad,High
Populated ,69,580,280,No,Good ,High
Unpopulated,38,580,6810,Yes,Bad,Low
Populated ,51,223,559,No,Good,Low
Populated ,64,415,9551,yes,Good,Low
Unpopulated,30,148,7248,No,Good,Low
Populated ,36,429,5972,No,Good,Low
Unpopulated,56,64,9202,No,Bad,Low
Populated ,55,30,3894,No,Good,Low
Unpopulated,60,432,2793,No,Bad,Low
Populated,77,205,4113,No,Good,High
Unpopulated,41,486,7861,No,Bad,Low
Populated,66,117,4364,No,Bad,Low
Populated ,58,631,5966,No,Good ,Low
Unpopulated,60,607,5097,No,Bad,Low
Populated ,54,456,5161,Yes,Good,Low
Populated ,49,420,6938,No,Good,Low
Unpopulated,38,188,8417,yes,Good,Low
Populated ,60,679,9374,No,Good,Low
Unpopulated,38,159,737,No,Bad,Low
Populated ,77,311,4343,No,Good,High
Unpopulated,63,43,8312,No,Bad,Low
Populated,55,661,7247,No,Good,Low
Unpopulated,65,348,1437,No,Bad,Low
Populated,64,414,4090,No,Bad,Low
Populated ,33,334,6227,No,Good ,Low
Unpopulated,75,259,3924,No,Bad,High
Populated ,51,426,7409,No,Good,Low
Populated ,34,316,3769,Yes,Good,Low
Unpopulated,31,175,1688,No,Good,Low
Populated ,53,184,1993,yes,Good,Low
Unpopulated,51,641,1414,No,Bad,Low
Populated ,40,11,4643,No,Good,Low
Unpopulated,78,600,2409,No,Bad,High
Populated,62,51,8729,No,Good,Low
Unpopulated,30,187,8174,No,Bad,Low
Populated,75,342,3712,No,Bad,High
Populated ,80,43,693,No,Good ,High
Unpopulated,30,567,6485,No,Bad,Low
Populated ,33,400,9471,No,Good,Low
Populated ,66,425,258,No,Good,Low
Unpopulated,50,430,7878,Yes,Good,Low
Populated ,54,355,6290,No,Good,Low
Unpopulated,36,44,291,yes,Bad,Low
Populated ,37,484,6271,No,Good,Low
Unpopulated,65,286,8617,No,Bad,Low
Populated,65,519,8192,No,Good,Low
Unpopulated,35,664,38,No,Bad,Low
Populated,67,488,10,No,Bad,Low
Populated ,57,639,4535,No,Good ,Low
Unpopulated,56,521,1780,No,Bad,Low
Populated ,30,532,1284,No,Good,Low
Populated ,56,678,5472,No,Good,Low
Unpopulated,80,680,8662,No,Good,High
Populated ,75,115,3812,Yes,Good,High
Unpopulated,76,265,3652,No,Bad,High
Populated ,53,153,4951,yes,Good,Low
Unpopulated,69,364,6825,No,Bad,High
Populated,41,494,2745,No,Good,Low
Unpopulated,53,354,7427,No,Bad,Low
Populated,79,177,4568,No,Bad,High
Populated ,57,452,3814,No,Good ,Low
Unpopulated,69,14,7930,No,Bad,High
Populated ,31,513,9296,No,Good,Low
Populated ,47,637,8700,No,Good,Low
Unpopulated,43,52,5758,No,Good,Low
Populated ,72,686,6182,No,Good,High
Unpopulated,74,377,5324,Yes,Bad,High
Populated ,41,62,9997,No,Good,Low
Unpopulated,68,536,3685,yes,Bad,Low
Populated,48,198,6681,No,Good,Low
Unpopulated,37,244,7702,No,Bad,Low
Populated,36,271,1027,No,Bad,Low
Populated ,49,225,3615,No,Good ,Low
Unpopulated,47,476,8085,No,Bad,Low
Populated ,38,241,9918,No,Good,Low
Populated ,75,315,2719,No,Good,High
Unpopulated,60,255,8848,No,Good,Low
Populated ,63,596,1703,No,Good,Low
Unpopulated,71,254,9947,No,Bad,High
Populated ,64,174,4919,Yes,Good,Low
Unpopulated,73,547,6754,No,Bad,High
Populated,46,524,3896,yes,Good,Low
Unpopulated,63,164,631,No,Bad,Low
Populated,43,175,3645,No,Bad,Low
Populated ,51,149,5179,No,Good ,Low
Unpopulated,63,227,2516,No,Bad,Low
Populated ,69,63,6807,No,Good,High
Populated ,46,675,8178,No,Good,Low
Unpopulated,70,194,2932,No,Good,High
Populated ,62,520,8144,No,Good,Low
Unpopulated,68,494,2588,No,Bad,Low
Populated ,42,134,739,No,Good,Low
Unpopulated,31,411,6902,Yes,Bad,Low
Populated,80,674,8501,No,Good,High
Unpopulated,59,143,5416,yes,Bad,Low
Populated,33,698,4598,No,Bad,Low
Populated ,80,152,8178,No,Good ,High
Unpopulated,32,145,8296,No,Bad,Low
Populated ,31,465,5759,No,Good,Low
Populated ,68,16,1085,No,Good,Low
Unpopulated,75,543,4713,No,Good,High
Populated ,44,528,5697,No,Good,Low
Unpopulated,73,608,1601,No,Bad,High
Populated ,42,269,545,No,Good,Low
Unpopulated,50,697,2428,No,Bad,Low
Populated,48,63,1878,Yes,Good,Low
Unpopulated,36,450,779,No,Bad,Low
Populated,59,521,7121,yes,Bad,Low
Populated ,80,691,4146,No,Good ,High
Unpopulated,38,352,5413,No,Bad,Low
Populated ,76,306,7996,No,Good,High
Populated ,33,636,6516,No,Good,Low
Unpopulated,31,552,2662,No,Good,Low
Populated ,54,611,4707,No,Good,Low
Unpopulated,43,224,8138,No,Bad,Low
Populated ,36,389,4622,No,Good,Low
Unpopulated,64,671,9158,No,Bad,Low
Populated,34,36,1859,No,Good,Low
Unpopulated,35,325,6901,Yes,Bad,Low
Populated,55,485,667,No,Bad,Low
Populated ,77,627,5985,yes,Good ,High
Unpopulated,41,579,9072,No,Bad,Low
Populated ,74,506,1158,No,Good,High
Populated ,48,557,828,No,Good,Low
Unpopulated,69,185,5532,No,Good,High
Populated ,49,333,6343,No,Good,Low
Unpopulated,34,147,9613,No,Bad,Low
Populated ,42,680,2945,No,Good,Low
Unpopulated,71,72,4847,No,Bad,High
Populated,36,71,1037,No,Good,Low
Unpopulated,54,338,900,No,Bad,Low
Populated,80,90,2282,Yes,Bad,High
Populated ,46,358,340,No,Good ,Low
Unpopulated,36,371,7270,yes,Bad,Low
Populated ,65,236,8885,No,Good,Low
Populated ,68,263,8442,No,Good,Low
Unpopulated,57,61,2372,No,Good,Low
Populated ,57,674,3302,No,Good,Low
Unpopulated,49,559,8583,No,Bad,Low
Populated ,64,260,7887,No,Good,Low
Unpopulated,44,315,8349,No,Bad,Low
Populated,78,267,9813,No,Good,High
Unpopulated,58,57,1342,No,Bad,Low
Populated,79,520,6497,No,Bad,High
Populated ,73,577,9347,Yes,Good ,High
Unpopulated,33,484,7781,No,Bad,Low
Populated ,40,174,7715,yes,Good,Low
Populated ,61,8,6409,No,Good,Low
Unpopulated,41,600,5072,No,Good,Low
Populated ,53,60,3393,No,Good,Low
Unpopulated,44,548,6087,No,Bad,Low
